
 Daxpy product:
   Blaze [MFlop/s]:
   N=77580, steps=94494
     Blaze       = 1        (1.99164)
   N=85338, steps=87569
     Blaze       = 1        (1.99325)
   N=93871, steps=82555
     Blaze       = 1        (1.99493)
   N=103258, steps=76598
     Blaze       = 1        (1.99336)
   N=113583, steps=71880
     Blaze       = 1        (1.98452)
   N=124941, steps=66790
     Blaze       = 1        (1.96519)
   N=137435, steps=61909
     Blaze       = 1        (1.98267)
   N=151178, steps=58039
     Blaze       = 1        (1.97915)
   N=166295, steps=53684
     Blaze       = 1        (1.99456)
   N=182924, steps=49806
     Blaze       = 1        (1.99761)
   N=201216, steps=45349
     Blaze       = 1        (1.98247)
   N=221337, steps=41725
     Blaze       = 1        (1.95788)
   N=243470, steps=38855
     Blaze       = 1        (1.98945)
   N=267817, steps=35572
     Blaze       = 1        (1.99218)
   N=294598, steps=32503
     Blaze       = 1        (1.9419)
   N=324057, steps=29404
     Blaze       = 1        (1.92823)
   N=356462, steps=28148
     Blaze       = 1        (1.98102)
   N=392108, steps=24975
     Blaze       = 1        (1.97033)
   N=431318, steps=22977
     Blaze       = 1        (1.95688)
   N=474449, steps=21257
     Blaze       = 1        (1.98024)
   N=521893, steps=19265
     Blaze       = 1        (1.94512)
   N=574082, steps=17528
     Blaze       = 1        (1.95971)
   N=631490, steps=16278
     Blaze       = 1        (2.006)
   N=694639, steps=14577
     Blaze       = 1        (1.95892)
   N=764102, steps=13390
     Blaze       = 1        (1.97342)
   N=840512, steps=12047
     Blaze       = 1        (1.9722)
   N=924563, steps=10978
     Blaze       = 1        (1.96211)
   N=1017019, steps=10110
     Blaze       = 1        (1.99726)
   N=1118720, steps=9201
     Blaze       = 1        (2.02175)
   N=1230592, steps=8460
     Blaze       = 1        (2.02054)
   N=1353651, steps=7696
     Blaze       = 1        (2.04682)
   N=1489016, steps=6924
     Blaze       = 1        (2.03718)
   N=1637917, steps=6156
     Blaze       = 1        (2.06705)
   N=1801708, steps=5479
     Blaze       = 1        (2.02223)
   N=1981878, steps=4555
     Blaze       = 1        (1.95618)
   N=2180065, steps=3737
     Blaze       = 1        (1.96752)
   N=2398071, steps=3113
     Blaze       = 1        (1.93716)
   N=2637878, steps=2394
     Blaze       = 1        (1.93607)
   N=2901665, steps=1953
     Blaze       = 1        (1.96123)
   N=3191831, steps=1519
     Blaze       = 1        (1.96447)
   N=3511014, steps=1186
     Blaze       = 1        (1.94126)
   N=3862115, steps=1026
     Blaze       = 1        (2.00485)
   N=4248326, steps=860
     Blaze       = 1        (1.99657)
   N=4673158, steps=740
     Blaze       = 1        (1.9957)
   N=5140474, steps=632
     Blaze       = 1        (2.02562)
   N=5654521, steps=566
     Blaze       = 1        (2.01356)
   N=6219973, steps=498
     Blaze       = 1        (1.95649)
   N=6841970, steps=454
     Blaze       = 1        (1.96994)
   N=7526167, steps=407
     Blaze       = 1        (1.95463)
   N=8278784, steps=375
     Blaze       = 1        (1.98252)
   N=9106663, steps=322
     Blaze       = 1        (1.91395)
   N=10000000, steps=312
     Blaze       = 1        (1.98776)
